PROCEDURE_CODE,CPT4_CODE,CPT4_DESCRIPTION
6149,27134,"Revision of total hip arthroplasty; both components, with or without autograft or allograft"
6150,27137,"Revision of total hip arthroplasty; acetabular component only, with or without autograft or allograft"
6151,27138,"Revision of total hip arthroplasty; femoral component only, with or without allograft"
6152,27140,Osteotomy and transfer of greater trochanter of femur (separate procedure)
6153,27146,"Osteotomy, iliac, acetabular or innominate bone;"
6154,27147,"Osteotomy, iliac, acetabular or innominate bone; with open reduction of hip"
6155,27151,"Osteotomy, iliac, acetabular or innominate bone; with femoral osteotomy"
6156,27156,"Osteotomy, iliac, acetabular or innominate bone; with femoral osteotomy and with open reduction of hip"
6157,27158,"Osteotomy, pelvis, bilateral (eg, congenital malformation)"
6158,27161,"Osteotomy, femoral neck (separate procedure)"
6159,27165,"Osteotomy, intertrochanteric or subtrochanteric including internal or external fixation and/or cast"
6160,27170,"Bone graft, femoral head, neck, intertrochanteric or subtrochanteric area (includes obtaining bone graft)"
6161,27175,"Treatment of slipped femoral epiphysis; by traction, without reduction"
6162,27176,"Treatment of slipped femoral epiphysis; by single or multiple pinning, in situ"
6163,27177,Open treatment of slipped femoral epiphysis; single or multiple pinning or bone graft (includes obtaining graft)
6164,27178,Open treatment of slipped femoral epiphysis; closed manipulation with single or multiple pinning
6165,27179,Open treatment of slipped femoral epiphysis; osteoplasty of femoral neck (Heyman type procedure)
6168,27181,Open treatment of slipped femoral epiphysis; osteotomy and internal fixation
6169,27185,"Epiphyseal arrest by epiphysiodesis or stapling, greater trochanter of femur"
6170,27187,"Prophylactic treatment (nailing, pinning, plating or wiring) with or without methylmethacrylate, femoral neck and proximal femur"
6171,27193,"Closed treatment of pelvic ring fracture, dislocation, diastasis or subluxation; without manipulation"
6179,27200,Closed treatment of coccygeal fracture
6181,27215,"Open treatment of iliac spine(s), tuberosity avulsion, or iliac wing fracture(s) (eg, pelvic fracture(s) which do not disrupt the pelvic ring), with internal fixation"
6182,27216,"Percutaneous skeletal fixation of posterior pelvic ring fracture and/or dislocation (includes ilium, sacroiliac joint and/or sacrum)"
6185,27220,Closed treatment of acetabulum (hip socket) fracture(s); without manipulation
6186,27222,"Closed treatment of acetabulum (hip socket) fracture(s); with manipulation, with or without skeletal traction"
6187,27226,"Open treatment of posterior or anterior acetabular wall fracture, with internal fixation"
6188,27227,"Open treatment of acetabular fracture(s) involving anterior or posterior (one) column, or a fracture running transversely across the acetabulum, with internal fixation"
6189,27228,"Open treatment of acetabular fracture(s) involving anterior and posterior (two) columns, includes T-fracture and both column fracture with complete articular detachment, or single column or transverse fracture with associated acetabular wall fracture, with internal fixation"
6190,27230,"Closed treatment of femoral fracture, proximal end, neck; without manipulation"
6191,27232,"Closed treatment of femoral fracture, proximal end, neck; with manipulation, with or without skeletal traction"
6192,27235,"Percutaneous skeletal fixation of femoral fracture, proximal end, neck"
6193,27236,"Open treatment of femoral fracture, proximal end, neck, internal fixation or prosthetic replacement"
6194,27238,"Closed treatment of intertrochanteric, peritrochanteric, or subtrochanteric femoral fracture; without manipulation"
6195,27240,"Closed treatment of intertrochanteric, peritrochanteric, or subtrochanteric femoral fracture; with manipulation, with or without skin or skeletal traction"
6196,27244,"Treatment of intertrochanteric, peritrochanteric, or subtrochanteric femoral fracture; with plate/screw type implant, with or without cerclage"
6197,27245,"Treatment of intertrochanteric, peritrochanteric, or subtrochanteric femoral fracture; with intramedullary implant, with or without interlocking screws and/or cerclage"
6198,27246,"Closed treatment of greater trochanteric fracture, without manipulation"
6199,27248,"Open treatment of greater trochanteric fracture, with or without internal or external fixation"
6200,27250,"Closed treatment of hip dislocation, traumatic; without anesthesia"
6201,27252,"Closed treatment of hip dislocation, traumatic; requiring anesthesia"
6202,27253,"Open treatment of hip dislocation, traumatic, without internal fixation"
6203,27254,"Open treatment of hip dislocation, traumatic, with acetabular wall and femoral head fracture, with or without internal or external fixation"
6204,27256,"Treatment of spontaneous hip dislocation (developmental, including congenital or pathological), by abduction, splint or traction; without anesthesia, without manipulation"
6205,27257,"Treatment of spontaneous hip dislocation (developmental, including congenital or pathological), by abduction, splint or traction; with manipulation, requiring anesthesia"
6206,27258,"Open treatment of spontaneous hip dislocation (developmental, including congenital or pathological), replacement of femoral head in acetabulum (including tenotomy, etc);"
6207,27259,"Open treatment of spontaneous hip dislocation (developmental, including congenital or pathological), replacement of femoral head in acetabulum (including tenotomy, etc); with femoral shaft shortening"
6208,27265,Closed treatment of post hip arthroplasty dislocation; without anesthesia
6209,27266,Closed treatment of post hip arthroplasty dislocation; requiring regional or general anesthesia
6210,27275,"Manipulation, hip joint, requiring general anesthesia"
6213,27284,"Arthrodesis, hip joint (including obtaining graft);"
6215,27290,Interpelviabdominal amputation (hindquarter amputation)
6216,27295,Disarticulation of hip
6217,27299,"Unlisted procedure, pelvis or hip joint"
6219,27301,"Incision and drainage, deep abscess, bursa, or hematoma, thigh or knee region"
6220,27303,"Incision, deep, with opening of bone cortex, femur or knee (eg, osteomyelitis or bone abscess)"
6221,27305,"Fasciotomy, iliotibial (tenotomy), open"
6222,27306,"Tenotomy, percutaneous, adductor or hamstring; single tendon (separate procedure)"
6223,27307,"Tenotomy, percutaneous, adductor or hamstring; multiple tendons"
6232,27310,"Arthrotomy, knee, with exploration, drainage, or removal of foreign body (eg, infection)"
6234,27323,"Biopsy, soft tissue of thigh or knee area; superficial"
6235,27324,"Biopsy, soft tissue of thigh or knee area; deep (subfascial or intramuscular)"
6238,27327,"Excision, tumor, thigh or knee area; subcutaneous"
6239,27328,"Excision, tumor, thigh or knee area; deep, subfascial, or intramuscular"
6240,27329,"Radical resection of tumor (eg, malignant neoplasm), soft tissue of thigh or knee area"
6242,27330,"Arthrotomy, knee; with synovial biopsy only"
6243,27331,"Arthrotomy, knee; including joint exploration, biopsy, or removal of loose or foreign bodies"
6244,27332,"Arthrotomy, with excision of semilunar cartilage (meniscectomy) knee; medial OR lateral"
6245,27333,"Arthrotomy, with excision of semilunar cartilage (meniscectomy) knee; medial AND lateral"
6246,27334,"Arthrotomy, with synovectomy, knee; anterior OR posterior"
6247,27335,"Arthrotomy, with synovectomy, knee; anterior AND posterior including popliteal area"
6249,27340,"Excision, prepatellar bursa"
6250,27345,"Excision of synovial cyst of popliteal space (eg, Baker's cyst)"
6251,27347,"Excision of lesion of meniscus or capsule (eg, cyst, ganglion), knee"
6252,27350,Patellectomy or hemipatellectomy
6253,27355,Excision or curettage of bone cyst or benign tumor of femur;
6254,27356,Excision or curettage of bone cyst or benign tumor of femur; with allograft
6255,27357,Excision or curettage of bone cyst or benign tumor of femur; with autograft (includes obtaining graft)
6256,27358,Excision or curettage of bone cyst or benign tumor of femur; with internal fixation (List in addition to code for primary procedure)
6257,27360,"Partial excision (craterization, saucerization, or diaphysectomy) bone, femur, proximal tibia and/or fibula (eg, osteomyelitis or bone abscess)"
6258,27365,"Radical resection of tumor, bone, femur or knee"
6259,27370,Injection procedure for knee arthrography
6260,27372,"Removal of foreign body, deep, thigh region or knee area"
6261,27380,Suture of infrapatellar tendon; primary
6262,27381,"Suture of infrapatellar tendon; secondary reconstruction, including fascial or tendon graft"
6263,27385,Suture of quadriceps or hamstring muscle rupture; primary
6264,27386,"Suture of quadriceps or hamstring muscle rupture; secondary reconstruction, including fascial or tendon graft"
6265,27390,"Tenotomy, open, hamstring, knee to hip; single tendon"
6266,27391,"Tenotomy, open, hamstring, knee to hip; multiple tendons, one leg"
6267,27392,"Tenotomy, open, hamstring, knee to hip; multiple tendons, bilateral"
6269,27394,"Lengthening of hamstring tendon; multiple tendons, one leg"
6270,27395,"Lengthening of hamstring tendon; multiple tendons, bilateral"
6271,27396,"Transplant, hamstring tendon to patella; single tendon"
6275,27403,"Arthrotomy with meniscus repair, knee"
6276,27405,"Repair, primary, torn ligament and/or capsule, knee; collateral"
6277,27407,"Repair, primary, torn ligament and/or capsule, knee; cruciate"
6278,27409,"Repair, primary, torn ligament and/or capsule, knee; collateral and cruciate ligaments"
6279,27412,"Autologous chondrocyte implantation, knee"
6280,27415,"Osteochondral allograft, knee, open"
6281,27418,"Anterior tibial tubercleplasty (eg, Maquet type procedure)"
6282,27420,"Reconstruction of dislocating patella; (eg, Hauser type procedure)"
6283,27422,"Reconstruction of dislocating patella; with extensor realignment and/or muscle advancement or release (eg, Campbell, Goldwaite type procedure)"
6284,27424,Reconstruction of dislocating patella; with patellectomy
6285,27425,"Lateral retinacular release, open"
6286,27427,"Ligamentous reconstruction (augmentation), knee; extra-articular"
6287,27428,"Ligamentous reconstruction (augmentation), knee; intra-articular (open)"
6288,27429,"Ligamentous reconstruction (augmentation), knee; intra-articular (open) and extra-articular"
6289,27430,"Quadricepsplasty (eg, Bennett or Thompson type)"
6290,27435,"Capsulotomy, posterior capsular release, knee"
6291,27437,"Arthroplasty, patella; without prosthesis"
6292,27438,"Arthroplasty, patella; with prosthesis"
6293,27440,"Arthroplasty, knee, tibial plateau;"
6294,27441,"Arthroplasty, knee, tibial plateau; with debridement and partial synovectomy"
6295,27442,"Arthroplasty, femoral condyles or tibial plateau(s), knee;"
6296,27443,"Arthroplasty, femoral condyles or tibial plateau(s), knee; with debridement and partial synovectomy"
6297,27445,"Arthroplasty, knee, hinge prosthesis (eg, Walldius type)"
6298,27446,"Arthroplasty, knee, condyle and plateau; medial OR lateral compartment"
6299,27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)"
6300,27448,"Osteotomy, femur, shaft or supracondylar; without fixation"
6301,27450,"Osteotomy, femur, shaft or supracondylar; with fixation"
6302,27454,"Osteotomy, multiple, with realignment on intramedullary rod, femoral shaft (eg, Sofield type procedure)"
6303,27455,"Osteotomy, proximal tibia, including fibular excision or osteotomy (includes correction of genu varus (bowleg) or genu valgus (knock-knee)); before epiphyseal closure"
6304,27457,"Osteotomy, proximal tibia, including fibular excision or osteotomy (includes correction of genu varus (bowleg) or genu valgus (knock-knee)); after epiphyseal closure"
6306,27466,"Osteoplasty, femur; lengthening"
6307,27468,"Osteoplasty, femur; combined, lengthening and shortening with femoral segment transfer"
6308,27470,"Repair, nonunion or malunion, femur, distal to head and neck; without graft (eg, compression technique)"
6309,27472,"Repair, nonunion or malunion, femur, distal to head and neck; with iliac or other autogenous bone graft (includes obtaining graft)"
6310,27475,"Arrest, epiphyseal, any method (eg, epiphysiodesis); distal femur"
6311,27477,"Arrest, epiphyseal, any method (eg, epiphysiodesis); tibia and fibula, proximal"
6312,27479,"Arrest, epiphyseal, any method (eg, epiphysiodesis); combined distal femur, proximal tibia and fibula"
6313,27485,"Arrest, hemiepiphyseal, distal femur or proximal tibia or fibula (eg, genu varus or valgus)"
6314,27486,"Revision of total knee arthroplasty, with or without allograft; one component"
6315,27487,"Revision of total knee arthroplasty, with or without allograft; femoral and entire tibial component"
6316,27488,"Removal of prosthesis, including total knee prosthesis, methylmethacrylate with or without insertion of spacer, knee"
6317,27495,"Prophylactic treatment (nailing, pinning, plating or wiring) with or without methylmethacrylate, femur"
6318,27496,"Decompression fasciotomy, thigh and/or knee, one compartment (flexor or extensor or adductor);"
6319,27497,"Decompression fasciotomy, thigh and/or knee, one compartment (flexor or extensor or adductor); with debridement of nonviable muscle and/or nerve"
6320,27498,"Decompression fasciotomy, thigh and/or knee, multiple compartments;"
6321,27499,"Decompression fasciotomy, thigh and/or knee, multiple compartments; with debridement of nonviable muscle and/or nerve"
6336,27500,"Closed treatment of femoral shaft fracture, without manipulation"
6337,27501,"Closed treatment of supracondylar or transcondylar femoral fracture with or without intercondylar extension, without manipulation"
6338,27502,"Closed treatment of femoral shaft fracture, with manipulation, with or without skin or skeletal traction"
6339,27503,"Closed treatment of supracondylar or transcondylar femoral fracture with or without intercondylar extension, with manipulation, with or without skin or skeletal traction"
6340,27506,"Open treatment of femoral shaft fracture, with or without external fixation, with insertion of intramedullary implant, with or without cerclage and/or locking screws"
6341,27507,"Open treatment of femoral shaft fracture with plate/screws, with or without cerclage"
6342,27508,"Closed treatment of femoral fracture, distal end, medial or lateral condyle, without manipulation"
6343,27509,"Percutaneous skeletal fixation of femoral fracture, distal end, medial or lateral condyle, or supracondylar or transcondylar, with or without intercondylar extension, or distal femoral epiphyseal separation"
6344,27510,"Closed treatment of femoral fracture, distal end, medial or lateral condyle, with manipulation"
6345,27511,"Open treatment of femoral supracondylar or transcondylar fracture without intercondylar extension, with or without internal or external fixation"
6346,27513,"Open treatment of femoral supracondylar or transcondylar fracture with intercondylar extension, with or without internal or external fixation"
6347,27514,"Open treatment of femoral fracture, distal end, medial or lateral condyle, with or without internal or external fixation"
6348,27516,Closed treatment of distal femoral epiphyseal separation; without manipulation
6351,27520,"Closed treatment of patellar fracture, without manipulation"
6352,27524,"Open treatment of patellar fracture, with internal fixation and/or partial or complete patellectomy and soft tissue repair"
6353,27530,"Closed treatment of tibial fracture, proximal (plateau); without manipulation"
6354,27532,"Closed treatment of tibial fracture, proximal (plateau); with or without manipulation, with skeletal traction"
6355,27535,"Open treatment of tibial fracture, proximal (plateau); unicondylar, with or without internal or external fixation"
6356,27536,"Open treatment of tibial fracture, proximal (plateau); bicondylar, with or without internal fixation"
6357,27538,"Closed treatment of intercondylar spine(s) and/or tuberosity fracture(s) of knee, with or without manipulation"
6358,27540,"Open treatment of intercondylar spine(s) and/or tuberosity fracture(s) of the knee, with or without internal or external fixation"
6359,27550,Closed treatment of knee dislocation; without anesthesia
6360,27552,Closed treatment of knee dislocation; requiring anesthesia
6361,27556,"Open treatment of knee dislocation, with or without internal or external fixation; without primary ligamentous repair or augmentation/reconstruction"
6364,27560,Closed treatment of patellar dislocation; without anesthesia
6366,27566,"Open treatment of patellar dislocation, with or without partial or total patellectomy"
6367,27570,Manipulation of knee joint under general anesthesia (includes application of traction or other fixation devices)
6368,27580,"Arthrodesis, knee, any technique"
6369,27590,"Amputation, thigh, through femur, any level;"
6371,27592,"Amputation, thigh, through femur, any level; open, circular (guillotine)"
6372,27594,"Amputation, thigh, through femur, any level; secondary closure or scar revision"
6373,27596,"Amputation, thigh, through femur, any level; re-amputation"
6374,27598,Disarticulation at knee
6375,27599,"Unlisted procedure, femur or knee"
6377,27600,"Decompression fasciotomy, leg; anterior and/or lateral compartments only"
6378,27601,"Decompression fasciotomy, leg; posterior compartment(s) only"
6379,27602,"Decompression fasciotomy, leg; anterior and/or lateral, and posterior compartment(s)"
6380,27603,"Incision and drainage, leg or ankle; deep abscess or hematoma"
6381,27604,"Incision and drainage, leg or ankle; infected bursa"
6382,27605,"Tenotomy, percutaneous, Achilles tendon (separate procedure); local anesthesia"
6383,27606,"Tenotomy, percutaneous, Achilles tendon (separate procedure); general anesthesia"
6384,27607,"Incision (eg, osteomyelitis or bone abscess), leg or ankle"
6385,27610,"Arthrotomy, ankle, including exploration, drainage, or removal of foreign body"
6386,27612,"Arthrotomy, posterior capsular release, ankle, with or without Achilles tendon lengthening"
6387,27613,"Biopsy, soft tissue of leg or ankle area; superficial"
6388,27614,"Biopsy, soft tissue of leg or ankle area; deep (subfascial or intramuscular)"
6389,27615,"Radical resection of tumor (eg, malignant neoplasm), soft tissue of leg or ankle area"
6390,27618,"Excision, tumor, leg or ankle area; subcutaneous tissue"
6391,27619,"Excision, tumor, leg or ankle area; deep (subfascial or intramuscular)"
6392,27620,"Arthrotomy, ankle, with joint exploration, with or without biopsy, with or without removal of loose or foreign body"
6393,27625,"Arthrotomy, with synovectomy, ankle;"
6394,27626,"Arthrotomy, with synovectomy, ankle; including tenosynovectomy"
6395,27630,"Excision of lesion of tendon sheath or capsule (eg, cyst or ganglion), leg and/or ankle"
6396,27635,"Excision or curettage of bone cyst or benign tumor, tibia or fibula;"
6397,27637,"Excision or curettage of bone cyst or benign tumor, tibia or fibula; with autograft (includes obtaining graft)"
6398,27638,"Excision or curettage of bone cyst or benign tumor, tibia or fibula; with allograft"
6399,27640,"Partial excision (craterization, saucerization, or diaphysectomy) bone (eg, osteomyelitis or exostosis); tibia"
6400,27641,"Partial excision (craterization, saucerization, or diaphysectomy) bone (eg, osteomyelitis or exostosis); fibula"
6401,27645,"Radical resection of tumor, bone; tibia"
6402,27646,"Radical resection of tumor, bone; fibula"
6403,27647,"Radical resection of tumor, bone; talus or calcaneus"
6404,27648,Injection procedure for ankle arthrography
6405,27650,"Repair, primary, open or percutaneous, ruptured Achilles tendon;"
6406,27652,"Repair, primary, open or percutaneous, ruptured Achilles tendon; with graft (includes obtaining graft)"
6407,27654,"Repair, secondary, Achilles tendon, with or without graft"
6408,27656,"Repair, fascial defect of leg"
6409,27658,"Repair, flexor tendon, leg; primary, without graft, each tendon"
6410,27659,"Repair, flexor tendon, leg; secondary, with or without graft, each tendon"
6411,27664,"Repair, extensor tendon, leg; primary, without graft, each tendon"
6412,27665,"Repair, extensor tendon, leg; secondary, with or without graft, each tendon"
6413,27675,"Repair, dislocating peroneal tendons; without fibular osteotomy"
6414,27676,"Repair, dislocating peroneal tendons; with fibular osteotomy"
6415,27680,"Tenolysis, flexor or extensor tendon, leg and/or ankle; single, each tendon"
6416,27681,"Tenolysis, flexor or extensor tendon, leg and/or ankle; multiple tendons (through separate incision(s))"
6417,27685,"Lengthening or shortening of tendon, leg or ankle; single tendon (separate procedure)"
6418,27686,"Lengthening or shortening of tendon, leg or ankle; multiple tendons (through same incision), each"
6419,27687,"Gastrocnemius recession (eg, Strayer procedure)"
6420,27690,"Transfer or transplant of single tendon (with muscle redirection or rerouting); superficial (eg, anterior tibial extensors into midfoot)"
6421,27691,"Transfer or transplant of single tendon (with muscle redirection or rerouting); deep (eg, anterior tibial or posterior tibial through interosseous space, flexor digitorum longus, flexor hallucis longus, or peroneal tendon to midfoot or hindfoot)"
6422,27692,Transfer or transplant of single tendon (with muscle redirection or rerouting); each additional tendon (List separately in addition to code for primary procedure)
6423,27695,"Repair, primary, disrupted ligament, ankle; collateral"
6424,27696,"Repair, primary, disrupted ligament, ankle; both collateral ligaments"
6425,27698,"Repair, secondary, disrupted ligament, ankle, collateral (eg, Watson-Jones procedure)"
6427,27700,"Arthroplasty, ankle;"
6428,27702,"Arthroplasty, ankle; with implant (total ankle)"
6429,27703,"Arthroplasty, ankle; revision, total ankle"
6430,27704,Removal of ankle implant
6431,27705,Osteotomy; tibia
6432,27707,Osteotomy; fibula
6433,27709,Osteotomy; tibia and fibula
6434,27712,"Osteotomy; multiple, with realignment on intramedullary rod (eg, Sofield type procedure)"
6435,27715,"Osteoplasty, tibia and fibula, lengthening or shortening"
6436,27720,"Repair of nonunion or malunion, tibia; without graft, (eg, compression technique)"
6438,27724,"Repair of nonunion or malunion, tibia; with iliac or other autograft (includes obtaining graft)"
6440,27727,"Repair of congenital pseudarthrosis, tibia"
6441,27730,"Arrest, epiphyseal (epiphysiodesis), open; distal tibia"
6443,27734,"Arrest, epiphyseal (epiphysiodesis), open; distal tibia and fibula"
6444,27740,"Arrest, epiphyseal (epiphysiodesis), any method, combined, proximal and distal tibia and fibula;"
6445,27742,"Arrest, epiphyseal (epiphysiodesis), any method, combined, proximal and distal tibia and fibula; and distal femur"
6446,27745,"Prophylactic treatment (nailing, pinning, plating or wiring) with or without methylmethacrylate, tibia"
6447,27750,Closed treatment of tibial shaft fracture (with or without fibular fracture); without manipulation
6448,27752,"Closed treatment of tibial shaft fracture (with or without fibular fracture); with manipulation, with or without skeletal traction"
6449,27756,"Percutaneous skeletal fixation of tibial shaft fracture (with or without fibular fracture) (eg, pins or screws)"
6450,27758,"Open treatment of tibial shaft fracture, (with or without fibular fracture) with plate/screws, with or without cerclage"
6451,27759,"Treatment of tibial shaft fracture (with or without fibular fracture) by intramedullary implant, with or without interlocking screws and/or cerclage"
6452,27760,Closed treatment of medial malleolus fracture; without manipulation
6453,27762,"Closed treatment of medial malleolus fracture; with manipulation, with or without skin or skeletal traction"
6454,27766,"Open treatment of medial malleolus fracture, with or without internal or external fixation"
6455,27780,Closed treatment of proximal fibula or shaft fracture; without manipulation
6456,27781,Closed treatment of proximal fibula or shaft fracture; with manipulation
6457,27784,"Open treatment of proximal fibula or shaft fracture, with or without internal or external fixation"
6458,27786,Closed treatment of distal fibular fracture (lateral malleolus); without manipulation
6459,27788,Closed treatment of distal fibular fracture (lateral malleolus); with manipulation
6460,27792,"Open treatment of distal fibular fracture (lateral malleolus), with or without internal or external fixation"
6462,27808,"Closed treatment of bimalleolar ankle fracture, (including Potts); without manipulation"
6463,27810,"Closed treatment of bimalleolar ankle fracture, (including Potts); with manipulation"
6464,27814,"Open treatment of bimalleolar ankle fracture, with or without internal or external fixation"
6465,27816,Closed treatment of trimalleolar ankle fracture; without manipulation
6466,27818,Closed treatment of trimalleolar ankle fracture; with manipulation
6467,27822,"Open treatment of trimalleolar ankle fracture, with or without internal or external fixation, medial and/or lateral malleolus; without fixation of posterior lip"
6468,27823,"Open treatment of trimalleolar ankle fracture, with or without internal or external fixation, medial and/or lateral malleolus; with fixation of posterior lip"
6469,27824,"Closed treatment of fracture of weight bearing articular portion of distal tibia (eg, pilon or tibial plafond), with or without anesthesia; without manipulation"
6470,27825,"Closed treatment of fracture of weight bearing articular portion of distal tibia (eg, pilon or tibial plafond), with or without anesthesia; with skeletal traction and/or requiring manipulation"
6471,27826,"Open treatment of fracture of weight bearing articular surface/portion of distal tibia (eg, pilon or tibial plafond), with internal or external fixation; of fibula only"
6472,27827,"Open treatment of fracture of weight bearing articular surface/portion of distal tibia (eg, pilon or tibial plafond), with internal or external fixation; of tibia only"
6473,27828,"Open treatment of fracture of weight bearing articular surface/portion of distal tibia (eg, pilon or tibial plafond), with internal or external fixation; of both tibia and fibula"
6474,27829,"Open treatment of distal tibiofibular joint (syndesmosis) disruption, with or without internal or external fixation"
6475,27830,Closed treatment of proximal tibiofibular joint dislocation; without anesthesia
6478,27840,Closed treatment of ankle dislocation; without anesthesia
6479,27842,"Closed treatment of ankle dislocation; requiring anesthesia, with or without percutaneous skeletal fixation"
6480,27846,"Open treatment of ankle dislocation, with or without percutaneous skeletal fixation; without repair or internal fixation"
6481,27848,"Open treatment of ankle dislocation, with or without percutaneous skeletal fixation; with repair or internal or external fixation"
6482,27860,Manipulation of ankle under general anesthesia (includes application of traction or other fixation apparatus)
6483,27870,"Arthrodesis, ankle, open"
6484,27871,"Arthrodesis, tibiofibular joint, proximal or distal"
6485,27880,"Amputation, leg, through tibia and fibula;"
6486,27881,"Amputation, leg, through tibia and fibula; with immediate fitting technique including application of first cast"
6487,27882,"Amputation, leg, through tibia and fibula; open, circular (guillotine)"
6488,27884,"Amputation, leg, through tibia and fibula; secondary closure or scar revision"
6489,27886,"Amputation, leg, through tibia and fibula; re-amputation"
6490,27888,"Amputation, ankle, through malleoli of tibia and fibula (eg, Syme, Pirogoff type procedures), with plastic closure and resection of nerves"
6492,27892,"Decompression fasciotomy, leg; anterior and/or lateral compartments only, with debridement of nonviable muscle and/or nerve"
6493,27893,"Decompression fasciotomy, leg; posterior compartment(s) only, with debridement of nonviable muscle and/or nerve"
6494,27894,"Decompression fasciotomy, leg; anterior and/or lateral, and posterior compartment(s), with debridement of nonviable muscle and/or nerve"
6495,27899,"Unlisted procedure, leg or ankle"
6512,28001,"Incision and drainage, bursa, foot"
6514,28002,"Incision and drainage below fascia, with or without tendon sheath involvement, foot; single bursal space"
6516,28003,"Incision and drainage below fascia, with or without tendon sheath involvement, foot; multiple areas"
6519,28005,"Incision, bone cortex (eg, osteomyelitis or bone abscess), foot"
6523,28008,"Fasciotomy, foot and/or toe"
6526,28010,"Tenotomy, percutaneous, toe; single tendon"
6527,28011,"Tenotomy, percutaneous, toe; multiple tendons"
6536,28020,"Arthrotomy, including exploration, drainage, or removal of loose or foreign body; intertarsal or tarsometatarsal joint"
6537,28022,"Arthrotomy, including exploration, drainage, or removal of loose or foreign body; metatarsophalangeal joint"
6538,28024,"Arthrotomy, including exploration, drainage, or removal of loose or foreign body; interphalangeal joint"
6540,28035,"Release, tarsal tunnel (posterior tibial nerve decompression)"
6543,28043,"Excision, tumor, foot; subcutaneous tissue"
6544,28045,"Excision, tumor, foot; deep, subfascial, intramuscular"
6545,28046,"Radical resection of tumor (eg, malignant neoplasm), soft tissue of foot"
6549,28050,Arthrotomy with biopsy; intertarsal or tarsometatarsal joint
6550,28052,Arthrotomy with biopsy; metatarsophalangeal joint
6551,28054,Arthrotomy with biopsy; interphalangeal joint
6552,28055,"Neurectomy, intrinsic musculature of foot"
6554,28060,"Fasciectomy, plantar fascia; partial (separate procedure)"
6555,28062,"Fasciectomy, plantar fascia; radical (separate procedure)"
6557,28070,"Synovectomy; intertarsal or tarsometatarsal joint, each"
6558,28072,"Synovectomy; metatarsophalangeal joint, each"
6560,28080,"Excision, interdigital (Morton) neuroma, single, each"
6561,28086,"Synovectomy, tendon sheath, foot; flexor"
6562,28088,"Synovectomy, tendon sheath, foot; extensor"
6564,28090,"Excision of lesion, tendon, tendon sheath, or capsule (including synovectomy) (eg, cyst or ganglion); foot"
6565,28092,"Excision of lesion, tendon, tendon sheath, or capsule (including synovectomy) (eg, cyst or ganglion); toe(s), each"
6567,28100,"Excision or curettage of bone cyst or benign tumor, talus or calcaneus;"
6568,28102,"Excision or curettage of bone cyst or benign tumor, talus or calcaneus; with iliac or other autograft (includes obtaining graft)"
6569,28103,"Excision or curettage of bone cyst or benign tumor, talus or calcaneus; with allograft"
6570,28104,"Excision or curettage of bone cyst or benign tumor, tarsal or metatarsal, except talus or calcaneus;"
6571,28106,"Excision or curettage of bone cyst or benign tumor, tarsal or metatarsal, except talus or calcaneus; with iliac or other autograft (includes obtaining graft)"
6572,28107,"Excision or curettage of bone cyst or benign tumor, tarsal or metatarsal, except talus or calcaneus; with allograft"
6573,28108,"Excision or curettage of bone cyst or benign tumor, phalanges of foot"
6575,28110,"Ostectomy, partial excision, fifth metatarsal head (bunionette) (separate procedure)"
6576,28111,"Ostectomy, complete excision; first metatarsal head"
6577,28112,"Ostectomy, complete excision; other metatarsal head (second, third or fourth)"
6578,28113,"Ostectomy, complete excision; fifth metatarsal head"
6579,28114,"Ostectomy, complete excision; all metatarsal heads, with partial proximal phalangectomy, excluding first metatarsal (eg, Clayton type procedure)"
6580,28116,"Ostectomy, excision of tarsal coalition"
6581,28118,"Ostectomy, calcaneus;"
6582,28119,"Ostectomy, calcaneus; for spur, with or without plantar fascial release"
6584,28120,"Partial excision (craterization, saucerization, sequestrectomy, or diaphysectomy) bone (eg, osteomyelitis or bossing); talus or calcaneus"
6585,28122,"Partial excision (craterization, saucerization, sequestrectomy, or diaphysectomy) bone (eg, osteomyelitis or bossing); tarsal or metatarsal bone, except talus or calcaneus"
6586,28124,"Partial excision (craterization, saucerization, sequestrectomy, or diaphysectomy) bone (eg, osteomyelitis or bossing); phalanx of toe"
6587,28126,"Resection, partial or complete, phalangeal base, each toe"
6591,28140,Metatarsectomy
6593,28150,"Phalangectomy, toe, each toe"
6594,28153,"Resection, condyle(s), distal end of phalanx, each toe"
6596,28160,"Hemiphalangectomy or interphalangeal joint excision, toe, proximal end of phalanx, each"
6599,28175,"Radical resection of tumor, bone; phalanx of toe"
6600,28190,"Removal of foreign body, foot; subcutaneous"
6601,28192,"Removal of foreign body, foot; deep"
6602,28193,"Removal of foreign body, foot; complicated"
6603,28200,"Repair, tendon, flexor, foot; primary or secondary, without free graft, each tendon"
6605,28208,"Repair, tendon, extensor, foot; primary or secondary, each tendon"
6606,28210,"Repair, tendon, extensor, foot; secondary with free graft, each tendon (includes obtaining graft)"
6607,28220,"Tenolysis, flexor, foot; single tendon"
6608,28222,"Tenolysis, flexor, foot; multiple tendons"
6609,28225,"Tenolysis, extensor, foot; single tendon"
6610,28226,"Tenolysis, extensor, foot; multiple tendons"
